symbol,reaction_date,trade_long,trade_long_tier,year,quarter
SNPS,2020-08-19,True,D7_CORE,2020,3
SJM,2020-08-25,True,D7_CORE,2020,3
WDAY,2020-08-27,True,D7_CORE,2020,3
DRI,2020-09-24,True,D7_CORE,2020,3
IQV,2020-10-20,True,D7_CORE,2020,4
GNRC,2020-10-28,True,D7_CORE,2020,4
CBRE,2020-10-29,True,D7_CORE,2020,4
WAB,2020-10-29,True,D7_CORE,2020,4
ABBV,2020-10-30,True,D7_CORE,2020,4
PYPL,2020-11-03,True,D7_CORE,2020,4
QCOM,2020-11-04,True,D7_CORE,2020,4
AMAT,2020-11-12,True,D7_CORE,2020,4
TGT,2020-11-18,True,D7_CORE,2020,4
ON,2021-02-01,True,D7_CORE,2021,1
GOOGL,2021-02-02,True,D7_CORE,2021,1
GOOG,2021-02-02,True,D7_CORE,2021,1
SNA,2021-02-04,True,D7_CORE,2021,1
COR,2021-02-04,True,D7_CORE,2021,1
LIN,2021-02-05,True,D7_CORE,2021,1
J,2021-02-09,True,D7_CORE,2021,1
AMAT,2021-02-18,True,D7_CORE,2021,1
TTD,2021-02-18,True,D7_CORE,2021,1
JNJ,2021-04-20,True,D7_CORE,2021,2
ISRG,2021-04-20,True,D7_CORE,2021,2
POOL,2021-04-22,True,D7_CORE,2021,2
NUE,2021-04-22,True,D7_CORE,2021,2
STX,2021-04-22,True,D7_CORE,2021,2
GOOGL,2021-04-27,True,D7_CORE,2021,2
MMC,2021-04-27,True,D7_CORE,2021,2
MDLZ,2021-04-27,True,D7_CORE,2021,2
EQIX,2021-04-29,True,D7_CORE,2021,2
FTNT,2021-04-29,True,D7_CORE,2021,2
HSIC,2021-05-04,True,D7_CORE,2021,2
CRL,2021-05-04,True,D7_CORE,2021,2
AMCR,2021-05-04,True,D7_CORE,2021,2
VMC,2021-05-04,True,D7_CORE,2021,2
MSI,2021-05-06,True,D7_CORE,2021,2
FIS,2021-05-06,True,D7_CORE,2021,2
MCK,2021-05-06,True,D7_CORE,2021,2
CI,2021-05-07,True,D7_CORE,2021,2
WMT,2021-05-18,True,D7_CORE,2021,2
DELL,2021-05-28,True,D7_CORE,2021,2
ACN,2021-06-24,True,D7_CORE,2021,2
STT,2021-07-16,True,D7_CORE,2021,3
CMG,2021-07-20,True,D7_CORE,2021,3
MMC,2021-07-22,True,D7_CORE,2021,3
FISV,2021-07-27,True,D7_CORE,2021,3
PNR,2021-07-27,True,D7_CORE,2021,3
BG,2021-07-28,True,D7_CORE,2021,3
TDY,2021-07-28,True,D7_CORE,2021,3
CTSH,2021-07-28,True,D7_CORE,2021,3
BMY,2021-07-28,True,D7_CORE,2021,3
LIN,2021-07-30,True,D7_CORE,2021,3
WTW,2021-08-03,True,D7_CORE,2021,3
ETN,2021-08-03,True,D7_CORE,2021,3
MGM,2021-08-04,True,D7_CORE,2021,3
WYNN,2021-08-04,True,D7_CORE,2021,3
PSKY,2021-08-05,True,D7_CORE,2021,3
PANW,2021-08-23,True,D7_CORE,2021,3
WSM,2021-08-25,True,D7_CORE,2021,3
DRI,2021-09-23,True,D7_CORE,2021,3
PAYX,2021-09-30,True,D7_CORE,2021,3
POOL,2021-10-21,True,D7_CORE,2021,4
MSFT,2021-10-26,True,D7_CORE,2021,4
GOOGL,2021-10-26,True,D7_CORE,2021,4
BG,2021-10-27,True,D7_CORE,2021,4
KLAC,2021-10-27,True,D7_CORE,2021,4
TXT,2021-10-28,True,D7_CORE,2021,4
FE,2021-10-29,True,D7_CORE,2021,4
MCK,2021-11-01,True,D7_CORE,2021,4
AME,2021-11-02,True,D7_CORE,2021,4
TMUS,2021-11-02,True,D7_CORE,2021,4
AKAM,2021-11-02,True,D7_CORE,2021,4
IT,2021-11-02,True,D7_CORE,2021,4
GDDY,2021-11-03,True,D7_CORE,2021,4
BLDR,2021-11-04,True,D7_CORE,2021,4
PH,2021-11-04,True,D7_CORE,2021,4
REG,2021-11-05,True,D7_CORE,2021,4
OXY,2021-11-05,True,D7_CORE,2021,4
NVDA,2021-11-18,True,D7_CORE,2021,4
AXP,2022-01-25,True,D7_CORE,2022,1
NOW,2022-01-26,True,D7_CORE,2022,1
AJG,2022-01-27,True,D7_CORE,2022,1
BALL,2022-01-27,True,D7_CORE,2022,1
TMUS,2022-02-02,True,D7_CORE,2022,1
BDX,2022-02-03,True,D7_CORE,2022,1
ON,2022-02-07,True,D7_CORE,2022,1
OMC,2022-02-08,True,D7_CORE,2022,1
CMG,2022-02-08,True,D7_CORE,2022,1
ANET,2022-02-14,True,D7_CORE,2022,1
CRWD,2022-03-09,True,D7_CORE,2022,1
UNH,2022-07-15,True,D7_CORE,2022,3
CDNS,2022-07-25,True,D7_CORE,2022,3
CMG,2022-07-26,True,D7_CORE,2022,3
BXP,2022-07-27,True,D7_CORE,2022,3
TEL,2022-07-27,True,D7_CORE,2022,3
EQIX,2022-07-27,True,D7_CORE,2022,3
WM,2022-07-27,True,D7_CORE,2022,3
MA,2022-07-28,True,D7_CORE,2022,3
AVB,2022-07-28,True,D7_CORE,2022,3
KIM,2022-07-28,True,D7_CORE,2022,3
FTV,2022-07-28,True,D7_CORE,2022,3
GWW,2022-07-29,True,D7_CORE,2022,3
CTVA,2022-08-05,True,D7_CORE,2022,3
KEYS,2022-08-17,True,D7_CORE,2022,3
AVGO,2022-09-01,True,D7_CORE,2022,3
KR,2022-09-09,True,D7_CORE,2022,3
CTAS,2022-09-28,True,D7_CORE,2022,3
ISRG,2022-10-18,True,D7_CORE,2022,4
ELV,2022-10-19,True,D7_CORE,2022,4
ITW,2022-10-25,True,D7_CORE,2022,4
HON,2022-10-27,True,D7_CORE,2022,4
EME,2022-10-27,True,D7_CORE,2022,4
MAA,2022-10-27,True,D7_CORE,2022,4
GWW,2022-10-28,True,D7_CORE,2022,4
XYL,2022-11-01,True,D7_CORE,2022,4
EQIX,2022-11-02,True,D7_CORE,2022,4
MSI,2022-11-03,True,D7_CORE,2022,4
IR,2022-11-03,True,D7_CORE,2022,4
PODD,2022-11-03,True,D7_CORE,2022,4
JCI,2022-11-03,True,D7_CORE,2022,4
CBOE,2022-11-04,True,D7_CORE,2022,4
NCLH,2022-11-08,True,D7_CORE,2022,4
AXON,2022-11-08,True,D7_CORE,2022,4
PANW,2022-11-17,True,D7_CORE,2022,4
IBKR,2023-01-17,True,D7_CORE,2023,1
V,2023-01-26,True,D7_CORE,2023,1
YUM,2023-02-08,True,D7_CORE,2023,1
HLT,2023-02-09,True,D7_CORE,2023,1
PLTR,2023-02-13,True,D7_CORE,2023,1
MAR,2023-02-14,True,D7_CORE,2023,1
DE,2023-02-17,True,D7_CORE,2023,1
CRM,2023-03-01,True,D7_CORE,2023,1
ADBE,2023-03-15,True,D7_CORE,2023,1
CTAS,2023-03-29,True,D7_CORE,2023,1
MAA,2023-04-27,True,D7_CORE,2023,2
AVB,2023-04-27,True,D7_CORE,2023,2
CHD,2023-04-27,True,D7_CORE,2023,2
ROP,2023-04-27,True,D7_CORE,2023,2
HON,2023-04-27,True,D7_CORE,2023,2
ROK,2023-04-27,True,D7_CORE,2023,2
CL,2023-04-28,True,D7_CORE,2023,2
NCLH,2023-05-01,True,D7_CORE,2023,2
ETN,2023-05-02,True,D7_CORE,2023,2
