symbol,reaction_date,trade_long,trade_long_tier
WYNN,2021-08-04,True,D7_CORE
PSKY,2021-08-05,True,D7_CORE
PANW,2021-08-23,True,D7_CORE
WSM,2021-08-25,True,D7_CORE
DRI,2021-09-23,True,D7_CORE
PAYX,2021-09-30,True,D7_CORE
POOL,2021-10-21,True,D7_CORE
MSFT,2021-10-26,True,D7_CORE
GOOGL,2021-10-26,True,D7_CORE
BG,2021-10-27,True,D7_CORE
KLAC,2021-10-27,True,D7_CORE
TXT,2021-10-28,True,D7_CORE
FE,2021-10-29,True,D7_CORE
MCK,2021-11-01,True,D7_CORE
AME,2021-11-02,True,D7_CORE
TMUS,2021-11-02,True,D7_CORE
AKAM,2021-11-02,True,D7_CORE
IT,2021-11-02,True,D7_CORE
GDDY,2021-11-03,True,D7_CORE
BLDR,2021-11-04,True,D7_CORE
PH,2021-11-04,True,D7_CORE
REG,2021-11-05,True,D7_CORE
OXY,2021-11-05,True,D7_CORE
NVDA,2021-11-18,True,D7_CORE
AXP,2022-01-25,True,D7_CORE
NOW,2022-01-26,True,D7_CORE
AJG,2022-01-27,True,D7_CORE
BALL,2022-01-27,True,D7_CORE
TMUS,2022-02-02,True,D7_CORE
BDX,2022-02-03,True,D7_CORE
ON,2022-02-07,True,D7_CORE
OMC,2022-02-08,True,D7_CORE
CMG,2022-02-08,True,D7_CORE
ANET,2022-02-14,True,D7_CORE
CRWD,2022-03-09,True,D7_CORE
ROP,2022-04-26,True,D7_CORE
VLO,2022-04-26,True,D7_CORE
TMUS,2022-04-27,True,D7_CORE
HUM,2022-04-27,True,D7_CORE
WMB,2022-05-03,True,D7_CORE
MPC,2022-05-03,True,D7_CORE
BXP,2022-05-03,True,D7_CORE
EXR,2022-05-04,True,D7_CORE
VTRS,2022-05-08,True,D7_CORE
SYY,2022-05-10,True,D7_CORE
TTWO,2022-05-16,True,D7_CORE
KEYS,2022-05-17,True,D7_CORE
UNH,2022-07-15,True,D7_CORE
CDNS,2022-07-25,True,D7_CORE
CMG,2022-07-26,True,D7_CORE
BXP,2022-07-27,True,D7_CORE
TEL,2022-07-27,True,D7_CORE
EQIX,2022-07-27,True,D7_CORE
WM,2022-07-27,True,D7_CORE
MA,2022-07-28,True,D7_CORE
AVB,2022-07-28,True,D7_CORE
KIM,2022-07-28,True,D7_CORE
FTV,2022-07-28,True,D7_CORE
GWW,2022-07-29,True,D7_CORE
CTVA,2022-08-05,True,D7_CORE
KEYS,2022-08-17,True,D7_CORE
AVGO,2022-09-01,True,D7_CORE
KR,2022-09-09,True,D7_CORE
CTAS,2022-09-28,True,D7_CORE
ISRG,2022-10-18,True,D7_CORE
ELV,2022-10-19,True,D7_CORE
ITW,2022-10-25,True,D7_CORE
HON,2022-10-27,True,D7_CORE
EME,2022-10-27,True,D7_CORE
MAA,2022-10-27,True,D7_CORE
GWW,2022-10-28,True,D7_CORE
XYL,2022-11-01,True,D7_CORE
EQIX,2022-11-02,True,D7_CORE
MSI,2022-11-03,True,D7_CORE
IR,2022-11-03,True,D7_CORE
PODD,2022-11-03,True,D7_CORE
JCI,2022-11-03,True,D7_CORE
CBOE,2022-11-04,True,D7_CORE
NCLH,2022-11-08,True,D7_CORE
AXON,2022-11-08,True,D7_CORE
PANW,2022-11-17,True,D7_CORE
IBKR,2023-01-17,True,D7_CORE
V,2023-01-26,True,D7_CORE
YUM,2023-02-08,True,D7_CORE
HLT,2023-02-09,True,D7_CORE
PLTR,2023-02-13,True,D7_CORE
MAR,2023-02-14,True,D7_CORE
DE,2023-02-17,True,D7_CORE
CRM,2023-03-01,True,D7_CORE
ADBE,2023-03-15,True,D7_CORE
CTAS,2023-03-29,True,D7_CORE
MAA,2023-04-27,True,D7_CORE
AVB,2023-04-27,True,D7_CORE
CHD,2023-04-27,True,D7_CORE
ROP,2023-04-27,True,D7_CORE
HON,2023-04-27,True,D7_CORE
ROK,2023-04-27,True,D7_CORE
CL,2023-04-28,True,D7_CORE
NCLH,2023-05-01,True,D7_CORE
ETN,2023-05-02,True,D7_CORE
PAYC,2023-05-02,True,D7_CORE
AME,2023-05-02,True,D7_CORE
FTNT,2023-05-04,True,D7_CORE
PODD,2023-05-04,True,D7_CORE
HST,2023-05-05,True,D7_CORE
TDG,2023-05-09,True,D7_CORE
TPR,2023-05-11,True,D7_CORE
SNPS,2023-05-17,True,D7_CORE
NVDA,2023-05-24,True,D7_CORE
LEN,2023-06-15,True,D7_CORE
UAL,2023-07-20,True,D7_CORE
GE,2023-07-25,True,D7_CORE
LRCX,2023-07-26,True,D7_CORE
MDLZ,2023-07-27,True,D7_CORE
CINF,2023-07-28,True,D7_CORE
SBAC,2023-07-31,True,D7_CORE
ANET,2023-07-31,True,D7_CORE
FICO,2023-08-02,True,D7_CORE
IR,2023-08-03,True,D7_CORE
PSA,2023-08-03,True,D7_CORE
DVA,2023-08-03,True,D7_CORE
APTV,2023-08-03,True,D7_CORE
AMGN,2023-08-03,True,D7_CORE
PANW,2023-08-18,True,D7_CORE
HPE,2023-08-29,True,D7_CORE
DXCM,2023-10-26,True,D7_CORE
AOS,2023-10-26,True,D7_CORE
AMT,2023-10-26,True,D7_CORE
DECK,2023-10-26,True,D7_CORE
MAS,2023-10-26,True,D7_CORE
EG,2023-10-28,True,D7_CORE
ANET,2023-10-30,True,D7_CORE
WELL,2023-10-31,True,D7_CORE
EXPE,2023-11-02,True,D7_CORE
LYV,2023-11-02,True,D7_CORE
PWR,2023-11-02,True,D7_CORE
CI,2023-11-02,True,D7_CORE
CEG,2023-11-06,True,D7_CORE
AXON,2023-11-07,True,D7_CORE
INTU,2023-11-28,True,D7_CORE
CCL,2023-12-21,True,D7_CORE
WRB,2024-01-24,True,D7_CORE
HCA,2024-01-30,True,D7_CORE
DECK,2024-02-01,True,D7_CORE
J,2024-02-06,True,D7_CORE
DVA,2024-02-13,True,D7_CORE
APP,2024-02-14,True,D7_CORE
WELL,2024-02-14,True,D7_CORE
NVDA,2024-02-21,True,D7_CORE
MU,2024-03-20,True,D7_CORE
OMC,2024-04-16,True,D7_CORE
PHM,2024-04-23,True,D7_CORE
CSGP,2024-04-23,True,D7_CORE
CMG,2024-04-24,True,D7_CORE
GOOGL,2024-04-25,True,D7_CORE
LLY,2024-04-30,True,D7_CORE
VRSK,2024-05-01,True,D7_CORE
KIM,2024-05-02,True,D7_CORE
XYL,2024-05-02,True,D7_CORE
CRWD,2024-06-04,True,D7_CORE
HPE,2024-06-04,True,D7_CORE
CCL,2024-06-25,True,D7_CORE
CBRE,2024-07-25,True,D7_CORE
DOV,2024-07-25,True,D7_CORE
BKR,2024-07-26,True,D7_CORE
ON,2024-07-29,True,D7_CORE
ANET,2024-07-30,True,D7_CORE
CMI,2024-08-01,True,D7_CORE
IRM,2024-08-01,True,D7_CORE
REG,2024-08-02,True,D7_CORE
PLTR,2024-08-05,True,D7_CORE
FTNT,2024-08-06,True,D7_CORE
AXON,2024-08-06,True,D7_CORE
TDG,2024-08-06,True,D7_CORE
UBER,2024-08-06,True,D7_CORE
DVN,2024-08-07,True,D7_CORE
EQIX,2024-08-07,True,D7_CORE
DDOG,2024-08-08,True,D7_CORE
TTD,2024-08-08,True,D7_CORE
MU,2024-09-25,True,D7_CORE
ISRG,2024-10-17,True,D7_CORE
