symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,ret_pct
FICO,2019-01-30,2019-01-31,2019-03-15,218.87,263.38,0.0004484789468271011,0.2033627267327638,0.2033627267327638,0.09815858709204761,20.33627267327638
META,2019-01-30,2019-01-31,2019-03-15,165.6,165.98,0.0005927450911355532,0.002294685990338108,0.002294685990338108,0.09815858709204761,0.22946859903381078
COP,2019-01-31,2019-02-01,2019-03-18,68.34,67.61,0.0014392241489806616,-0.010681884694176191,-0.010681884694176302,0.09835657834133842,-1.0681884694176302
DECK,2019-01-31,2019-02-01,2019-03-18,24.17,24.1,0.0040693660877674145,-0.002896152254861395,-0.002896152254861395,0.09835657834133842,-0.2896152254861395
UPS,2019-01-31,2019-02-01,2019-03-18,105.72,110.69,0.0009303497762139464,0.047010972379871285,0.047010972379871285,0.09835657834133842,4.7010972379871285
HON,2019-02-02,2019-02-05,2019-03-20,148.4,156.29,0.0006661078526677283,0.05316711590296497,0.053167115902964746,0.09885040533589089,5.3167115902964746
AKAM,2019-02-12,2019-02-13,2019-03-28,70.35,71.09,0.001329025174212199,0.010518834399431576,0.010518834399431576,0.0934969210058282,1.0518834399431576
DHR,2019-04-18,2019-04-22,2019-06-04,111.27,117.4,0.0008960570601815219,0.05509121955603491,0.05509121955603491,0.09970426908639794,5.509121955603491
TRV,2019-04-18,2019-04-22,2019-06-04,138.38,147.55,0.0007205106885850408,0.06626680156091935,0.06626680156091935,0.09970426908639794,6.626680156091935
EBAY,2019-04-23,2019-04-24,2019-06-06,38.0,36.81,0.0026271223544556146,-0.031315789473684186,-0.031315789473683964,0.09983064946931335,-3.1315789473683964
EW,2019-04-23,2019-04-24,2019-06-06,59.63,59.93,0.0016741681950245403,0.005031024652020655,0.005031024652020655,0.09983064946931335,0.5031024652020655
MSFT,2019-04-24,2019-04-25,2019-06-07,130.06,131.4,0.0007693495123737447,0.010302937105951093,0.010302937105951093,0.10006159757932924,1.0302937105951093
NOW,2019-04-24,2019-04-25,2019-06-07,261.02,274.55,0.00038334839314738047,0.05183510842081085,0.05183510842081085,0.10006159757932924,5.183510842081085
COF,2019-04-25,2019-04-26,2019-06-10,90.7,90.43,0.0011020095641517207,-0.0029768467475193017,-0.0029768467475193017,0.09995226746856108,-0.29768467475193017
CTRA,2019-04-26,2019-04-29,2019-06-11,26.8,23.99,0.003753155745067476,-0.10485074626865676,-0.10485074626865676,0.10058457396780836,-10.485074626865675
