symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,ret_pct
AWK,2020-05-07,2020-05-08,2020-06-22,119.17,126.83,0.0007915389569916482,0.06427792229587981,0.06427792229587981,0.09432769750469472,6.427792229587981
KIM,2020-05-08,2020-05-11,2020-06-23,10.58,13.05,0.00893309426361953,0.23345935727788292,0.23345935727788292,0.09451213730909462,23.34593572778829
CAG,2020-06-30,2020-07-01,2020-08-13,35.4,37.7,0.002803083516515053,0.0649717514124295,0.0649717514124295,0.09922915648463287,6.49717514124295
LMT,2020-07-21,2020-07-22,2020-09-02,376.71,398.07,0.00026399280974779866,0.05670144142709255,0.056701441427092325,0.09944873136009323,5.6701441427092325
NDAQ,2020-07-22,2020-07-23,2020-09-03,44.73,44.42,0.0022327424838368094,-0.006930471719204023,-0.006930471719203912,0.09987057130202047,-0.6930471719203912
ARE,2020-07-27,2020-07-28,2020-09-09,172.24,162.88,0.000577608305476218,-0.05434277751973993,-0.05434277751973993,0.09948725453522378,-5.434277751973992
HOLX,2020-07-29,2020-07-30,2020-09-11,69.52,62.04,0.0014379988907349257,-0.10759493670886067,-0.10759493670886067,0.09996968288389203,-10.759493670886066
QCOM,2020-07-29,2020-07-30,2020-09-11,102.42,113.42,0.0009760757946093735,0.10740089826205823,0.10740089826205823,0.09996968288389203,10.740089826205823
CHD,2020-07-31,2020-08-03,2020-09-15,95.19,92.33,0.0010518472279900468,-0.03004517281227015,-0.03004517281227026,0.10012533763237257,-3.004517281227026
DRI,2020-09-24,2020-09-25,2020-11-06,98.6,102.12,0.0010088823625562034,0.03569979716024352,0.03569979716024352,0.09947580094804165,3.569979716024352
IQV,2020-10-20,2020-10-21,2020-12-03,173.9,167.63,0.0005719030582529399,-0.036055204140310604,-0.036055204140310604,0.09945394183018626,-3.6055204140310604
BG,2020-10-28,2020-10-29,2020-12-11,58.31,66.04,0.0016789887298887854,0.1325673126393414,0.1325673126393414,0.09790183283981509,13.25673126393414
GNRC,2020-10-28,2020-10-29,2020-12-11,218.899994,217.279999,0.00044724456611823884,-0.007400616922812686,-0.007400616922812686,0.09790183283981509,-0.7400616922812686
CBRE,2020-10-29,2020-10-30,2020-12-14,50.5,65.13,0.0019397371784120286,0.2897029702970295,0.2897029702970295,0.09795672750980744,28.97029702970295
CHTR,2020-10-30,2020-11-02,2020-12-15,605.099976,646.280029,0.00016096837544746052,0.0680549572522211,0.06805495725222133,0.09740196012001734,6.805495725222133
ANET,2020-11-02,2020-11-03,2020-12-16,15.2,17.86,0.006438853213884851,0.17500000000000004,0.17500000000000004,0.09787056885104974,17.500000000000004
PYPL,2020-11-03,2020-11-04,2020-12-17,186.76,235.51,0.0005272248839430627,0.26103019918612125,0.26103019918612125,0.09846451932520639,26.103019918612127
BALL,2020-11-05,2020-11-06,2020-12-21,97.67,92.73,0.0010477774028450225,-0.05057847855022013,-0.05057847855022013,0.10233641893587335,-5.057847855022013
PLD,2021-01-26,2021-01-27,2021-03-11,105.72,99.56,0.0010078427902810293,-0.058267120696178565,-0.058267120696178676,0.10654913978851042,-5.826712069617868
HOLX,2021-01-27,2021-01-28,2021-03-12,76.1127,70.78,0.0013971940524312844,-0.07006320889943474,-0.07006320889943463,0.10634421175448662,-7.006320889943463
ON,2021-02-01,2021-02-02,2021-03-17,37.53,41.83,0.0028604902097073923,0.11457500666133758,0.11457500666133758,0.10735419757031843,11.457500666133758
GOOG,2021-02-02,2021-02-03,2021-03-18,103.65,101.81,0.0010341171807915013,-0.01775205016883752,-0.017752050168837408,0.10718624578903911,-1.7752050168837408
CB,2021-02-03,2021-02-04,2021-03-19,157.17,159.23,0.0006816545584332451,0.013106827002608679,0.013106827002608679,0.10713564694895313,1.3106827002608679
SNA,2021-02-04,2021-02-05,2021-03-22,190.0,220.05,0.0005679013003785873,0.15815789473684227,0.15815789473684205,0.1079012470719316,15.815789473684205
LIN,2021-02-05,2021-02-08,2021-03-23,241.8294512745226,251.080078125,0.00044561139321799587,0.03825268924741576,0.03825268924741598,0.10776195870358346,3.8252689247415983
WSM,2021-03-17,2021-03-18,2021-04-30,79.5,85.38,0.0013730315060089305,0.07396226415094342,0.0739622641509432,0.10915600472770998,7.39622641509432
