,gross_exposure
2018-05-21,0.9973980773566941
2018-05-22,0.9973858970652162
2018-05-23,0.9973879984264898
2018-05-24,0.9973900488679904
2018-05-25,0.9179176022620283
2018-05-29,0.9172806041606542
2018-05-30,0.918473918511596
2018-05-31,0.9175778385135431
2018-06-01,0.9189037723231933
2018-06-04,0.8408062897400315
2018-06-05,0.7636006390678188
2018-06-06,0.766322939790693
2018-06-07,0.7649639718252534
2018-06-08,0.24332301108778615
2018-06-11,0.0
2018-06-12,0.0
2018-06-13,0.0
2018-06-14,0.0
2018-06-15,0.0
2018-06-18,0.0
2018-06-19,0.0
2018-06-20,0.0
2018-06-21,0.0
2018-06-22,0.0
2018-06-25,0.0
2018-06-26,0.0
2018-06-27,0.0
2018-06-28,0.0
2018-06-29,0.0
2018-07-02,0.0
2018-07-03,0.0
2018-07-05,0.0
2018-07-06,0.0
2018-07-09,0.0
2018-07-10,0.0
2018-07-11,0.08326551147545835
2018-07-12,0.08257994772577504
2018-07-13,0.08336724049921213
2018-07-16,0.08355029585798818
2018-07-17,0.08484991727723942
2018-07-18,0.1676086117281826
2018-07-19,0.25102072963916716
2018-07-20,0.33502736933879057
2018-07-23,0.33421580488779684
2018-07-24,0.33272435572110565
2018-07-25,0.41738407676546735
2018-07-26,0.8351750201467789
2018-07-27,1.0
2018-07-30,1.0
2018-07-31,1.0
2018-08-01,1.0
2018-08-02,1.0
2018-08-03,1.0
2018-08-06,1.0
2018-08-07,1.0
2018-08-08,1.0
2018-08-09,1.0
2018-08-10,1.0
2018-08-13,1.0
2018-08-14,1.0
2018-08-15,1.0
2018-08-16,1.0
2018-08-17,1.0
2018-08-20,1.0
2018-08-21,1.0
2018-08-22,0.9183537249389606
2018-08-23,0.9182710226842477
2018-08-24,0.9185849321843997
2018-08-27,0.9192054395325083
2018-08-28,0.9192950843313703
2018-08-29,0.834990483189135
2018-08-30,0.7456918712091047
2018-08-31,0.6626365030307512
2018-09-04,0.663012862567715
2018-09-05,0.6631323272782649
2018-09-06,0.5772993389520069
2018-09-07,0.16675958820854553
2018-09-10,0.0
2018-09-11,0.0
2018-09-12,0.0
2018-09-13,0.0
2018-09-14,0.0
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,0.0
2018-09-20,0.0
2018-09-21,0.0
2018-09-24,0.0
2018-09-25,0.0
2018-09-26,0.0
2018-09-27,0.0
2018-09-28,0.0
2018-10-01,0.0
2018-10-02,0.0
2018-10-03,0.0
2018-10-04,0.0
2018-10-05,0.0
2018-10-08,0.0
2018-10-09,0.0
2018-10-10,0.0
2018-10-11,0.0
2018-10-12,0.0
2018-10-15,0.0
2018-10-16,0.0
2018-10-17,0.08250318279061832
2018-10-18,0.08275599643100824
2018-10-19,0.2522978562667727
2018-10-22,0.3325975202802153
2018-10-23,0.42154835422102477
2018-10-24,0.4152271621620799
2018-10-25,0.5030680063322155
2018-10-26,0.7513026895763022
2018-10-29,0.9171703556409757
2018-10-30,1.0
2018-10-31,1.0
2018-11-01,1.0
2018-11-02,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,1.0
2018-11-08,1.0
2018-11-09,1.0
2018-11-12,1.0
2018-11-13,1.0
2018-11-14,1.0
2018-11-15,1.0
2018-11-16,1.0
2018-11-19,1.0
2018-11-20,1.0
2018-11-21,1.0
2018-11-23,1.0
2018-11-26,1.0
2018-11-27,1.0
2018-11-28,1.0
2018-11-29,0.9144781699539107
2018-11-30,0.9152565545919961
2018-12-03,0.7469684533929011
2018-12-04,0.6643455417293342
2018-12-06,0.5826204673187032
2018-12-07,0.5769157299802998
2018-12-10,0.499514025031626
2018-12-11,0.24251788132435495
2018-12-12,0.07921319727499325
2018-12-13,0.0
2018-12-14,0.0
2018-12-17,0.0
2018-12-18,0.0
2018-12-19,0.0
2018-12-20,0.0
2018-12-21,0.0
2018-12-24,0.0
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,0.0
2018-12-31,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-07,0.0
2019-01-08,0.0
2019-01-09,0.0
2019-01-10,0.0
2019-01-11,0.0
2019-01-14,0.0
2019-01-15,0.0
2019-01-16,0.08413864565935851
2019-01-17,0.16709109626573057
2019-01-18,0.16770556893445626
2019-01-22,0.1659522796132711
2019-01-23,0.165940251733959
2019-01-24,0.16662452386668372
2019-01-25,0.1672277742451774
2019-01-28,0.1672531677830747
2019-01-29,0.1682618918594083
2019-01-30,0.4195326700347147
2019-01-31,0.5870323151524975
2019-02-01,0.8369536517937234
2019-02-04,0.8378464528562728
2019-02-05,0.921443182778109
2019-02-06,0.9216921240118788
2019-02-07,0.9210401357470729
2019-02-08,0.9210368096303359
2019-02-11,0.9211358586674855
2019-02-12,0.9218006738609784
2019-02-13,1.0
2019-02-14,1.0
2019-02-15,1.0
2019-02-19,1.0
2019-02-20,1.0
2019-02-21,1.0
2019-02-22,1.0
2019-02-25,1.0
2019-02-26,1.0
2019-02-27,1.0
2019-02-28,1.0
2019-03-01,0.9227975389862233
2019-03-04,0.8427704559499974
2019-03-05,0.8425487686337502
2019-03-06,0.8413783410303853
2019-03-07,0.8401906309851973
2019-03-08,0.8392404482895803
2019-03-11,0.8414030612124793
2019-03-12,0.8416600025859662
2019-03-13,0.8429625505035419
2019-03-14,0.596644381936049
2019-03-15,0.4144570368298265
2019-03-18,0.16731216123417264
2019-03-19,0.1678062715108815
2019-03-20,0.08042789342728456
2019-03-21,0.08136519559462495
2019-03-22,0.07911040692749953
2019-03-25,0.0769472918213837
2019-03-26,0.07766603849882411
2019-03-27,0.07864993001423735
2019-03-28,0.0
2019-03-29,0.0
2019-04-01,0.0
2019-04-02,0.0
2019-04-03,0.0
2019-04-04,0.0
2019-04-05,0.0
2019-04-08,0.0
2019-04-09,0.0
2019-04-10,0.0
2019-04-11,0.0
2019-04-12,0.0
2019-04-15,0.0
2019-04-16,0.0
2019-04-17,0.0
2019-04-18,0.0
2019-04-22,0.16652107462615665
2019-04-23,0.16772162309861102
2019-04-24,0.3359245611241401
2019-04-25,0.5020471505273292
2019-04-26,0.5879869134992031
2019-04-29,0.6704822044790564
2019-04-30,0.6720144314693451
2019-05-01,0.9211254489675744
2019-05-02,1.0
2019-05-03,1.0
2019-05-06,1.0
2019-05-07,1.0
2019-05-08,1.0
2019-05-09,1.0
2019-05-10,1.0
2019-05-13,1.0
2019-05-14,1.0
2019-05-15,1.0
