,nav
2017-08-21,117619.18318331768
2017-08-22,120717.59778526612
2017-08-23,120098.1607537864
2017-08-24,120938.56708729923
2017-08-25,121848.80678422475
2017-08-28,122576.8298429829
2017-08-29,123094.30626199313
2017-08-30,124321.72357814123
2017-08-31,124432.20700280268
2017-09-01,124979.93181400339
2017-09-05,124361.39877157817
2017-09-06,124308.59021890468
2017-09-07,124457.90562735681
2017-09-08,124820.96733345855
2017-09-11,126099.4175268856
2017-09-12,126285.34241677297
2017-09-13,126291.4690676817
2017-09-14,126775.23762768171
2017-09-15,126932.21762768172
2017-09-18,127269.6430876817
2017-09-19,127028.74308768171
2017-09-20,126521.6430876817
2017-09-21,126406.0955676817
2017-09-22,126803.25556768171
2017-09-25,126039.41188768171
2017-09-26,126518.1118876817
2017-09-27,128069.93188768171
2017-09-28,128900.4518876817
2017-09-29,130216.49188768171
2017-10-02,130362.30148768172
2017-10-03,130156.12148768171
2017-10-04,129858.68148768171
2017-10-05,130000.64148768171
2017-10-06,129845.1614876817
2017-10-09,130064.86148768172
2017-10-10,130524.54148768171
2017-10-11,130314.98148768171
2017-10-12,129574.76148768171
2017-10-13,129125.2214876817
2017-10-16,128758.01828768171
2017-10-17,128758.01828768171
2017-10-18,128758.01828768171
2017-10-19,128758.01828768171
2017-10-20,128758.01828768171
2017-10-23,128758.01828768171
2017-10-24,128180.9231373811
2017-10-25,128226.2831373811
2017-10-26,127520.40051213061
2017-10-27,128592.85824760154
2017-10-30,128741.17824760155
2017-10-31,129135.13824760154
2017-11-01,129794.11824760155
2017-11-02,130010.14650411456
2017-11-03,134354.8956830083
2017-11-06,136440.3599367424
2017-11-07,137349.46297244163
2017-11-08,136219.08107667541
2017-11-09,134945.49530312224
2017-11-10,133785.9170139087
2017-11-13,134041.70620843582
2017-11-14,134017.61288610453
2017-11-15,133288.18704631546
2017-11-16,134499.9186884694
2017-11-17,135070.72781196662
2017-11-20,136019.87441620755
2017-11-21,136859.9085005924
2017-11-22,137061.9096265022
2017-11-24,137298.12818355614
2017-11-27,136830.3229283617
2017-11-28,138493.12386001134
2017-11-29,137021.2109775971
2017-11-30,137827.60428021074
2017-12-01,137083.7937669442
2017-12-04,136512.2894368887
2017-12-05,135605.33128913556
2017-12-06,135526.87747157583
2017-12-07,136632.74811145003
2017-12-08,138142.98538612894
2017-12-11,139826.42735515418
2017-12-12,140025.63862119117
2017-12-13,139521.27970419617
2017-12-14,138158.76060412577
2017-12-15,139101.99734412576
2017-12-18,139822.34854412577
