symbol,year,quarter,quarter_str,transcript_id,transcript_date,company_name,sector,industry,transcript_length,return_30d
FDS,2019,1,2019Q1,12012,2018-12-18,FactSet,Financial Services,Financial - Data & Stock Exchanges,43041,1.0203
FSLR,2019,1,2019Q1,11859,2019-05-02,First Solar,Energy,Solar,43850,1.8042
FTV,2019,1,2019Q1,12961,2019-04-26,Fortive,Technology,"Hardware, Equipment & Parts",59213,-7.1256
GDDY,2019,1,2019Q1,11662,2019-05-02,GoDaddy,Technology,Software - Infrastructure,36814,-12.2861
GL,2019,1,2019Q1,17350,2019-04-18,Globe Life,Financial Services,Insurance - Life,20375,0.6376
GM,2019,1,2019Q1,13495,2019-04-30,General Motors,Consumer Cyclical,Auto - Manufacturers,55183,-10.8473
GOOG,2019,1,2019Q1,14446,2019-04-30,Alphabet Inc. (Class C),Communication Services,Internet Content & Information,49975,-8.381
GPC,2019,1,2019Q1,22491,2019-04-18,Genuine Parts Company,Consumer Cyclical,Specialty Retail,48245,-11.8671
GPN,2019,1,2019Q1,13033,2019-05-05,Global Payments,Industrials,Specialty Business Services,48841,8.8348
GRMN,2019,1,2019Q1,13543,2019-05-01,Garmin,Technology,"Hardware, Equipment & Parts",30808,-6.1232
HON,2019,1,2019Q1,22925,2019-04-18,Honeywell,Industrials,Conglomerates,60529,2.1978
HPQ,2019,1,2019Q1,22479,2019-02-27,HP Inc.,Technology,Computer Hardware,47314,-16.3941
HRL,2019,1,2019Q1,13991,2019-02-21,Hormel Foods,Consumer Defensive,Packaged Foods,46227,-3.5938
HUBB,2019,1,2019Q1,11751,2019-04-30,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,28628,-0.5679
IFF,2019,1,2019Q1,22443,2019-05-08,International Flavors & Fragrances,Basic Materials,Chemicals - Specialty,45299,7.7839
ITW,2019,1,2019Q1,17471,2019-04-25,Illinois Tool Works,Industrials,Industrial - Machinery,48549,-3.6158
JCI,2019,1,2019Q1,13846,2019-02-01,Johnson Controls,Industrials,Construction,51975,7.8472
K,2019,1,2019Q1,17326,2019-05-02,Kellanova,Consumer Defensive,Food Confectioners,60710,-4.6474
KDP,2019,1,2019Q1,11937,2019-05-09,Keurig Dr Pepper,Consumer Defensive,Beverages - Non-Alcoholic,54719,5.2903
KLAC,2019,1,2019Q1,16967,2018-10-29,KLA Corporation,Technology,Semiconductors,45725,8.8688
LVS,2019,1,2019Q1,12343,2019-04-17,Las Vegas Sands,Consumer Cyclical,"Gambling, Resorts & Casinos",51235,-22.0439
LYV,2019,1,2019Q1,12271,2019-05-03,Live Nation Entertainment,Communication Services,Entertainment,32437,3.0619
MAA,2019,1,2019Q1,12890,2019-05-02,Mid-America Apartment Communities,Real Estate,REIT - Residential,46629,7.8169
MHK,2019,1,2019Q1,13410,2019-04-26,Mohawk Industries,Consumer Cyclical,"Furnishings, Fixtures & Appliances",53252,14.0387
MO,2019,1,2019Q1,23034,2019-04-25,Altria,Consumer Defensive,Tobacco,66735,-6.0866
MPC,2019,1,2019Q1,13763,2019-05-08,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,53757,-12.5862
NTRS,2019,1,2019Q1,16894,2019-04-23,Northern Trust,Financial Services,Asset Management,50365,-4.4084
NWSA,2019,1,2019Q1,13471,2018-11-07,News Corp (Class A),Communication Services,Entertainment,39521,-19.0618
NXPI,2019,1,2019Q1,12121,2019-04-30,NXP Semiconductors,Technology,Semiconductors,54250,-4.2288
ODFL,2019,1,2019Q1,12307,2019-04-25,Old Dominion,Industrials,Trucking,55448,-14.3262
ORLY,2019,1,2019Q1,13979,2019-04-25,O'Reilly Auto Parts,Consumer Cyclical,Specialty Retail,53845,-3.6673
OXY,2019,1,2019Q1,23094,2019-05-07,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,45085,-14.4121
PFE,2019,1,2019Q1,23130,2019-04-30,Pfizer,Healthcare,Drug Manufacturers - General,50299,8.8196
PFG,2019,1,2019Q1,14797,2019-04-26,Principal Financial Group,Financial Services,Insurance - Diversified,49355,-1.9541
PGR,2019,1,2019Q1,16991,2019-05-03,Progressive Corporation,Financial Services,Insurance - Property & Casualty,65074,9.2705
PKG,2019,1,2019Q1,12698,2019-04-25,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,44517,-3.1475
PLD,2019,1,2019Q1,14653,2019-04-25,Prologis,Real Estate,REIT - Industrial,35824,3.8242
PM,2019,1,2019Q1,14231,2019-04-18,Philip Morris International,Consumer Defensive,Tobacco,43596,-8.037
PPG,2019,1,2019Q1,23155,2019-04-18,PPG Industries,Basic Materials,Chemicals - Specialty,66552,-6.7996
PPL,2019,1,2019Q1,14882,2019-05-02,PPL Corporation,Utilities,Regulated Electric,26155,1.1579
PSKY,2019,1,2019Q1,17173,2019-05-02,Paramount Skydance Corp,Communication Services,Entertainment,61855,-2.5188
REGN,2019,1,2019Q1,13507,2019-05-07,Regeneron Pharmaceuticals,Healthcare,Biotechnology,57816,-9.7028
ROST,2019,1,2019Q1,13906,2019-05-22,Ross Stores,Consumer Cyclical,Apparel - Retail,32269,7.4579
RVTY,2019,1,2019Q1,17533,2019-04-25,Revvity,Healthcare,Medical - Diagnostics & Research,32467,-1.4199
SPGI,2019,1,2019Q1,23203,2019-05-02,S&P Global,Financial Services,Financial - Data & Stock Exchanges,43834,2.4835
STE,2019,1,2019Q1,12283,2018-08-08,Steris,Healthcare,Medical - Devices,36753,-1.0907
STLD,2019,1,2019Q1,11847,2019-04-22,Steel Dynamics,Basic Materials,Steel,55852,-21.967
TDG,2019,1,2019Q1,12985,2019-02-05,TransDigm Group,Industrials,Aerospace & Defense,48519,10.6773
TECH,2019,1,2019Q1,12069,2018-10-30,Bio-Techne,Healthcare,Biotechnology,52280,-12.2831
TRGP,2019,1,2019Q1,11883,2019-05-07,Targa Resources,Energy,Oil & Gas Midstream,45079,-6.0826
TSN,2019,1,2019Q1,14531,2019-02-07,Tyson Foods,Consumer Defensive,Agricultural Farm Products,45901,9.376
TT,2019,1,2019Q1,13834,2019-04-30,Trane Technologies,Industrials,Construction,54111,2.9213
TXN,2019,1,2019Q1,14930,2019-04-23,Texas Instruments,Technology,Semiconductors,31446,-5.3188
UDR,2019,1,2019Q1,13081,2019-05-01,"UDR, Inc.",Real Estate,REIT - Residential,65183,3.1146
URI,2019,1,2019Q1,13326,2019-04-18,United Rentals,Industrials,Rental & Leasing Services,52610,-9.4704
VICI,2019,1,2019Q1,11955,2019-05-02,Vici Properties,Real Estate,REIT - Diversified,46228,-0.438
WBD,2019,1,2019Q1,11963,2019-05-02,Warner Bros. Discovery,Communication Services,Entertainment,63956,-6.0537
WEC,2019,1,2019Q1,14075,2019-04-25,WEC Energy Group,Utilities,Regulated Electric,56494,7.6703
WYNN,2019,1,2019Q1,14051,2019-05-09,Wynn Resorts,Consumer Cyclical,"Gambling, Resorts & Casinos",30677,-10.4966
XYZ,2019,1,2019Q1,11550,2019-05-01,"Block, Inc.",Technology,Software - Infrastructure,42228,-2.7574
ACGL,2019,2,2019Q2,11870,2019-07-31,Arch Capital Group,Financial Services,Insurance - Diversified,30821,2.2503
AES,2019,2,2019Q2,16797,2019-08-06,AES Corporation,Utilities,Diversified Utilities,38857,-1.6544
AFL,2019,2,2019Q2,16749,2019-07-26,Aflac,Financial Services,Insurance - Life,50421,-5.0028
AMT,2019,2,2019Q2,14242,2019-07-25,American Tower,Real Estate,REIT - Specialty,66892,13.5749
BA,2019,2,2019Q2,22660,2019-07-24,Boeing,Industrials,Aerospace & Defense,73281,-3.423
BALL,2019,2,2019Q2,17568,2019-08-01,Ball Corporation,Consumer Cyclical,Packaging & Containers,58801,1.7487
BIIB,2019,2,2019Q2,14640,2019-07-23,Biogen,Healthcare,Drug Manufacturers - General,61864,-5.6736
BKNG,2019,2,2019Q2,13929,2019-08-08,Booking Holdings,Consumer Cyclical,Travel Services,58196,3.5239
BXP,2019,2,2019Q2,14433,2019-07-31,"BXP, Inc.",Real Estate,REIT - Office,61825,0.3158
CAG,2019,2,2019Q2,17640,2018-12-20,Conagra Brands,Consumer Defensive,Packaged Foods,77364,-24.0633
CB,2019,2,2019Q2,13857,2019-07-24,Chubb Limited,Financial Services,Insurance - Property & Casualty,32784,9.4657
CDW,2019,2,2019Q2,12354,2019-07-31,CDW,Technology,Information Technology Services,53058,0.6515
CHTR,2019,2,2019Q2,12924,2019-07-26,Charter Communications,Communication Services,Telecommunications Services,52063,3.5216
CME,2019,2,2019Q2,14410,2019-07-31,CME Group,Financial Services,Financial - Data & Stock Exchanges,51893,4.09
CMG,2019,2,2019Q2,13773,2019-07-23,Chipotle Mexican Grill,Consumer Cyclical,Restaurants,50852,13.3198
CMI,2019,2,2019Q2,22587,2019-07-30,Cummins,Industrials,Industrial - Machinery,60478,-4.8744
CMS,2019,2,2019Q2,22708,2019-07-26,CMS Energy,Utilities,Regulated Electric,57429,6.0214
COO,2019,2,2019Q2,12912,2019-05-30,Cooper Companies (The),Healthcare,Medical - Instruments & Supplies,58811,15.8916
CPT,2019,2,2019Q2,11974,2019-07-26,Camden Property Trust,Real Estate,REIT - Residential,53433,2.5369
CSX,2019,2,2019Q2,22744,2019-07-16,CSX Corporation,Industrials,Railroads,65123,-17.7979
CTAS,2019,2,2019Q2,16543,2018-12-20,Cintas,Industrials,Specialty Business Services,46133,20.4477
CTRA,2019,2,2019Q2,14194,2019-08-06,Coterra,Energy,Oil & Gas Exploration & Production,52315,5.043
CVS,2019,2,2019Q2,22756,2019-08-07,CVS Health,Healthcare,Medical - Healthcare Plans,55351,17.6373
DAY,2019,2,2019Q2,12047,2019-07-30,Dayforce,Technology,Software - Application,43649,1.2176
DE,2019,2,2019Q2,22780,2019-05-17,Deere & Company,Industrials,Agricultural - Machinery,56312,13.1173
DG,2019,2,2019Q2,13566,2019-08-29,Dollar General,Consumer Defensive,Discount Stores,62620,15.0464
DVN,2019,2,2019Q2,16616,2019-08-07,Devon Energy,Energy,Oil & Gas Exploration & Production,51275,7.1841
DXCM,2019,2,2019Q2,12234,2019-08-01,Dexcom,Healthcare,Medical - Devices,66490,-6.7823
ELV,2019,2,2019Q2,14748,2019-07-24,Elevance Health,Healthcare,Medical - Healthcare Plans,68318,-16.9768
ETN,2019,2,2019Q2,22816,2019-07-30,Eaton Corporation,Industrials,Industrial - Machinery,56620,8.5852
EVRG,2019,2,2019Q2,12582,2019-08-12,Evergy,Utilities,Regulated Electric,44585,6.8717
FAST,2019,2,2019Q2,14134,2019-07-11,Fastenal,Industrials,Industrial - Distribution,54208,-1.6635
FCX,2019,2,2019Q2,13750,2019-07-24,Freeport-McMoRan,Basic Materials,Copper,58937,-18.1974
FICO,2019,2,2019Q2,11810,2019-04-30,Fair Isaac,Technology,Software - Application,21823,11.4102
FSLR,2019,2,2019Q2,11858,2019-08-01,First Solar,Energy,Solar,54276,-5.0726
GM,2019,2,2019Q2,13494,2019-08-01,General Motors,Consumer Cyclical,Auto - Manufacturers,64556,-3.6688
GPC,2019,2,2019Q2,22490,2019-07-18,Genuine Parts Company,Consumer Cyclical,Specialty Retail,64619,-12.3557
HAL,2019,2,2019Q2,22900,2019-07-22,Halliburton,Energy,Oil & Gas Equipment & Services,53267,-13.7471
HOLX,2019,2,2019Q2,13068,2019-05-01,Hologic,Healthcare,Medical - Instruments & Supplies,53322,3.9774
HON,2019,2,2019Q2,22924,2019-07-18,Honeywell,Industrials,Conglomerates,59946,-2.9771
HPQ,2019,2,2019Q2,22478,2019-05-23,HP Inc.,Technology,Computer Hardware,47590,7.5039
IBKR,2019,2,2019Q2,11537,2019-07-17,Interactive Brokers Group,Financial Services,Investment - Banking & Investment Services,35093,-6.2704
IEX,2019,2,2019Q2,12366,2019-07-26,IDEX Corporation,Industrials,Industrial - Machinery,41332,1.6341
IFF,2019,2,2019Q2,22442,2019-08-07,International Flavors & Fragrances,Basic Materials,Chemicals - Specialty,49658,-1.1353
INTC,2019,2,2019Q2,22322,2019-07-25,Intel,Technology,Semiconductors,47527,-3.7793
IVZ,2019,2,2019Q2,14158,2019-07-25,Invesco,Financial Services,Asset Management,64392,-20.339
JPM,2019,2,2019Q2,22454,2019-07-16,JPMorgan Chase,Financial Services,Banks - Diversified,51957,-7.1642
K,2019,2,2019Q2,17325,2019-08-01,Kellanova,Consumer Defensive,Food Confectioners,51130,8.8047
KEYS,2019,2,2019Q2,12496,2019-05-29,Keysight Technologies,Technology,"Hardware, Equipment & Parts",40311,27.9334
KKR,2019,2,2019Q2,11673,2019-07-25,KKR,Financial Services,Asset Management,48416,-1.7222
KMB,2019,2,2019Q2,22972,2019-07-23,Kimberly-Clark,Consumer Defensive,Household & Personal Products,61201,6.2714
LUV,2019,2,2019Q2,17197,2019-07-25,Southwest Airlines,Industrials,"Airlines, Airports & Air Services",77667,-4.7149
LVS,2019,2,2019Q2,12342,2019-07-24,Las Vegas Sands,Consumer Cyclical,"Gambling, Resorts & Casinos",48868,-13.4606
LYV,2019,2,2019Q2,12270,2019-07-26,Live Nation Entertainment,Communication Services,Entertainment,32437,-6.6494
MDT,2019,2,2019Q2,17458,2018-11-20,Medtronic,Healthcare,Medical - Devices,54499,-8.764
MLM,2019,2,2019Q2,13337,2019-07-30,Martin Marietta Materials,Basic Materials,Construction Materials,63167,15.3891
MMC,2019,2,2019Q2,17433,2019-07-30,Marsh McLennan,Financial Services,Insurance - Brokers,51640,-4.2665
MNST,2019,2,2019Q2,13640,2019-08-08,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,36095,-4.9212
MOS,2019,2,2019Q2,13725,2019-08-06,Mosaic Company (The),Basic Materials,Agricultural Inputs,46781,-8.6017
MTCH,2019,2,2019Q2,12055,2019-08-07,Match Group,Communication Services,Internet Content & Information,55127,7.2115
NRG,2019,2,2019Q2,13881,2019-08-07,NRG Energy,Utilities,Independent Power Producers,50712,14.3531
NTAP,2019,2,2019Q2,16737,2018-11-14,NetApp,Technology,Computer Hardware,46489,-22.6708
NUE,2019,2,2019Q2,17556,2019-07-18,Nucor,Basic Materials,Steel,37290,-10.4407
OKE,2019,2,2019Q2,13869,2019-07-31,ONEOK,Energy,Oil & Gas Midstream,53509,9.9985
OMC,2019,2,2019Q2,16905,2019-07-17,Omnicom Group,Communication Services,Advertising Agencies,48958,-10.0214
PAYX,2019,2,2019Q2,16809,2018-12-19,Paychex,Industrials,Staffing & Employment Services,60239,12.671
PEG,2019,2,2019Q2,23105,2019-07-30,Public Service Enterprise Group,Utilities,Regulated Electric,32935,4.3837
PG,2019,2,2019Q2,23142,2019-01-23,Procter & Gamble,Consumer Defensive,Household & Personal Products,55605,8.9673
PHM,2019,2,2019Q2,17592,2019-07-23,PulteGroup,Consumer Cyclical,Residential Construction,50906,2.9271
PLD,2019,2,2019Q2,14652,2019-07-16,Prologis,Real Estate,REIT - Industrial,40547,2.5894
PNW,2019,2,2019Q2,16688,2019-08-08,Pinnacle West,Utilities,Regulated Electric,37273,4.4726
PODD,2019,2,2019Q2,11834,2019-08-05,Insulet Corporation,Healthcare,Medical - Devices,57200,25.5321
PPG,2019,2,2019Q2,23154,2019-07-18,PPG Industries,Basic Materials,Chemicals - Specialty,55127,-5.3077
PSKY,2019,2,2019Q2,17172,2019-08-08,Paramount Skydance Corp,Communication Services,Entertainment,49928,-17.4144
PYPL,2019,2,2019Q2,13212,2019-07-24,PayPal,Financial Services,Financial - Credit Services,45865,-9.2745
QCOM,2019,2,2019Q2,16700,2019-05-01,Qualcomm,Technology,Semiconductors,46309,-20.4353
REG,2019,2,2019Q2,12841,2019-08-02,Regency Centers,Real Estate,REIT - Retail,41081,3.4415
ROP,2019,2,2019Q2,13893,2019-07-25,Roper Technologies,Industrials,Industrial - Machinery,47693,0.0854
ROST,2019,2,2019Q2,13905,2019-08-21,Ross Stores,Consumer Cyclical,Apparel - Retail,33830,3.0558
RSG,2019,2,2019Q2,14038,2019-07-26,Republic Services,Industrials,Waste Management,54366,-4.9175
RVTY,2019,2,2019Q2,17532,2019-07-29,Revvity,Healthcare,Medical - Diagnostics & Research,34855,-8.842
SPGI,2019,2,2019Q2,23202,2019-08-01,S&P Global,Financial Services,Financial - Data & Stock Exchanges,56323,2.0902
STLD,2019,2,2019Q2,11846,2019-07-23,Steel Dynamics,Basic Materials,Steel,41748,-14.1725
T,2019,2,2019Q2,17616,2019-07-24,AT&T,Communication Services,Telecommunications Services,52254,11.8497
TAP,2019,2,2019Q2,22418,2019-07-31,Molson Coors Beverage Company,Consumer Defensive,Beverages - Alcoholic,55838,-1.1771
TDY,2019,2,2019Q2,12187,2019-07-24,Teledyne Technologies,Technology,"Hardware, Equipment & Parts",27466,12.0536
TGT,2019,2,2019Q2,22334,2019-08-21,Target Corporation,Consumer Defensive,Discount Stores,67114,24.658
TSCO,2019,2,2019Q2,13385,2019-07-25,Tractor Supply,Consumer Cyclical,Specialty Retail,56206,-7.9556
TXN,2019,2,2019Q2,14929,2019-07-23,Texas Instruments,Technology,Semiconductors,30005,5.6134
VICI,2019,2,2019Q2,11954,2019-08-01,Vici Properties,Real Estate,REIT - Diversified,55924,1.9681
VMC,2019,2,2019Q2,16712,2019-07-25,Vulcan Materials Company,Basic Materials,Construction Materials,55571,5.4311
VST,2019,2,2019Q2,11685,2019-08-02,Vistra Corp.,Utilities,Independent Power Producers,60122,23.2483
VTR,2019,2,2019Q2,14002,2019-07-26,Ventas,Real Estate,REIT - Healthcare Facilities,53881,9.5422
WDAY,2019,2,2019Q2,11625,2018-09-04,"Workday, Inc.",Technology,Software - Application,45496,-12.4067
WST,2019,2,2019Q2,12210,2019-07-25,West Pharmaceutical Services,Healthcare,Medical - Instruments & Supplies,35402,22.434
WY,2019,2,2019Q2,22298,2019-07-26,Weyerhaeuser,Real Estate,REIT - Specialty,57962,7.2198
XOM,2019,2,2019Q2,23238,2019-08-02,ExxonMobil,Energy,Oil & Gas Integrated,77376,1.7527
XYZ,2019,2,2019Q2,11549,2019-08-01,"Block, Inc.",Technology,Software - Infrastructure,42465,-26.8338
YUM,2019,2,2019Q2,16953,2019-08-01,Yum! Brands,Consumer Cyclical,Restaurants,47961,-1.0309
ZBH,2019,2,2019Q2,14905,2019-07-26,Zimmer Biomet,Healthcare,Medical - Devices,63303,10.6231
A,2019,3,2019Q3,16639,2019-08-14,Agilent Technologies,Healthcare,Medical - Diagnostics & Research,59898,16.4659
ADM,2019,3,2019Q3,22635,2019-10-31,Archer Daniels Midland,Consumer Defensive,Agricultural Farm Products,58325,11.5223
AES,2019,3,2019Q3,16796,2019-11-06,AES Corporation,Utilities,Diversified Utilities,40656,13.7289
AIZ,2019,3,2019Q3,14313,2019-11-06,Assurant,Financial Services,Insurance - Specialty,42978,4.2955
AMP,2019,3,2019Q3,14505,2019-10-24,Ameriprise Financial,Financial Services,Asset Management,54229,14.9369
APA,2019,3,2019Q3,17000,2019-10-31,APA Corporation,Energy,Oil & Gas Exploration & Production,45742,-0.0468
APO,2019,3,2019Q3,11599,2019-10-31,Apollo Global Management,Financial Services,Asset Management - Global,36672,8.3171
ARE,2019,3,2019Q3,12792,2019-10-29,Alexandria Real Estate Equities,Real Estate,REIT - Office,43613,0.3455
AVY,2019,3,2019Q3,17420,2019-10-23,Avery Dennison,Industrials,Business Equipment & Supplies,45761,9.685
AXON,2019,3,2019Q3,11797,2019-11-07,Axon Enterprise,Industrials,Aerospace & Defense,34532,37.8363
BAX,2019,3,2019Q3,22513,2019-10-24,Baxter International,Healthcare,Medical - Instruments & Supplies,50939,-5.4349
BG,2019,3,2019Q3,11821,2019-10-30,Bunge Global,Consumer Defensive,Agricultural Farm Products,30875,-0.4627
BKR,2019,3,2019Q3,12721,2019-11-02,Baker Hughes,Energy,Oil & Gas Equipment & Services,53618,11.2785
BLDR,2019,3,2019Q3,11720,2019-11-03,Builders FirstSource,Industrials,Construction,52567,5.1029
BX,2019,3,2019Q3,11772,2019-10-23,Blackstone Inc.,Financial Services,Asset Management,37880,9.002
BXP,2019,3,2019Q3,14432,2019-10-30,"BXP, Inc.",Real Estate,REIT - Office,81724,1.3728
CAT,2019,3,2019Q3,22683,2019-10-23,Caterpillar Inc.,Industrials,Agricultural - Machinery,57060,5.5053
CCL,2019,3,2019Q3,16772,2019-09-26,Carnival,Consumer Cyclical,Leisure,54810,-6.263
CL,2019,3,2019Q3,22695,2019-11-01,Colgate-Palmolive,Consumer Defensive,Household & Personal Products,44944,0.3936
CMCSA,2019,3,2019Q3,14723,2019-10-24,Comcast,Communication Services,Telecommunications Services,54004,-3.2371
CNP,2019,3,2019Q3,17519,2019-11-07,CenterPoint Energy,Utilities,Regulated Electric,43858,-7.0907
COO,2019,3,2019Q3,12911,2019-08-29,Cooper Companies (The),Healthcare,Medical - Instruments & Supplies,49220,-10.9799
CPT,2019,3,2019Q3,11973,2019-11-01,Camden Property Trust,Real Estate,REIT - Residential,60709,-7.6419
CTRA,2019,3,2019Q3,14193,2019-10-25,Coterra,Energy,Oil & Gas Exploration & Production,31174,-12.7302
CTSH,2019,3,2019Q3,14373,2019-10-31,Cognizant,Technology,Information Technology Services,58381,1.1815
CTVA,2019,3,2019Q3,12412,2019-10-31,Corteva,Basic Materials,Agricultural Inputs,51338,-3.6026
D,2019,3,2019Q3,12900,2019-11-01,Dominion Energy,Utilities,Regulated Electric,47504,-1.1024
DD,2019,3,2019Q3,12415,2019-10-31,DuPont,Basic Materials,Chemicals - Specialty,47599,-1.2026
DLTR,2019,3,2019Q3,13688,2018-11-29,Dollar Tree,Consumer Defensive,Discount Stores,51714,15.1584
DPZ,2019,3,2019Q3,12221,2019-10-08,Domino's,Consumer Cyclical,Restaurants,65723,17.972
DTE,2019,3,2019Q3,22791,2019-10-28,DTE Energy,Utilities,Regulated Electric,42055,-2.5667
ECL,2019,3,2019Q3,17360,2019-10-29,Ecolab,Basic Materials,Chemicals - Specialty,36969,-3.3822
EMR,2019,3,2019Q3,22598,2019-08-06,Emerson Electric,Industrials,Industrial - Machinery,78480,9.1842
EXR,2019,3,2019Q3,13127,2019-10-30,Extra Space Storage,Real Estate,REIT - Industrial,38558,-9.1635
FE,2019,3,2019Q3,16940,2019-11-04,FirstEnergy,Utilities,Regulated Electric,44268,-0.1654
FICO,2019,3,2019Q3,11809,2019-07-31,Fair Isaac,Technology,Software - Application,28718,-10.9608
FIS,2019,3,2019Q3,14397,2019-11-05,Fidelity National Information Services,Technology,Information Technology Services,59033,5.1221
FISV,2019,3,2019Q3,14916,2019-11-06,"Fiserv, Inc.",Technology,Information Technology Services,63096,11.2096
GIS,2019,3,2019Q3,22887,2019-03-20,General Mills,Consumer Defensive,Packaged Foods,60082,8.5097
GM,2019,3,2019Q3,13493,2019-10-29,General Motors,Consumer Cyclical,Auto - Manufacturers,57941,-3.821
GOOG,2019,3,2019Q3,14444,2019-10-28,Alphabet Inc. (Class C),Communication Services,Internet Content & Information,30994,4.2636
GS,2019,3,2019Q3,14783,2019-10-15,Goldman Sachs,Financial Services,Financial - Capital Markets,76171,8.0799
HST,2019,3,2019Q3,14325,2019-11-06,Host Hotels & Resorts,Real Estate,REIT - Hotel & Motel,47600,7.0649
HUBB,2019,3,2019Q3,11749,2019-10-29,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,31652,4.465
