date,gross_exposure
2018-03-28,0.18325764825093954
2018-03-29,0.1872621664845914
2018-04-02,0.18621105701287494
2018-04-03,0.19402260993112153
2018-04-04,0.19315914930925673
2018-04-05,0.1957467134192001
2018-04-06,0.19175421952418922
2018-04-09,0.19097604469059962
2018-04-10,0.19360044768533216
2018-04-11,0.19526577843173165
2018-04-12,0.0
2018-04-13,0.0
2018-04-16,0.0
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,0.0
2018-04-20,0.0
2018-04-23,0.0
2018-04-24,0.0
2018-04-25,0.0
2018-04-26,0.48165317015854586
2018-04-27,0.766660300115869
2018-04-30,0.7637223789492922
2018-05-01,0.7654963773794807
2018-05-02,0.860415596942694
2018-05-03,1.0552532466268707
2018-05-04,1.1518147723216163
2018-05-07,1.1506430181359262
2018-05-08,1.1506934889880165
2018-05-09,1.1487820448956274
2018-05-10,1.1474599435732173
2018-05-11,1.1478495113092506
2018-05-14,1.1473578810939726
2018-05-15,1.1470673547767405
2018-05-16,1.1459481885826288
2018-05-17,1.1454643425700015
2018-05-18,1.1454537202858326
2018-05-21,1.1437488309555734
2018-05-22,1.1450450563734886
2018-05-23,1.1445582261120872
2018-05-24,1.1448213772172038
2018-05-25,1.1458698586692169
2018-05-29,1.1466725972951715
2018-05-30,1.1441668380758307
2018-05-31,1.1458787357776892
2018-06-01,1.1432700287044795
2018-06-04,1.1426278136267065
2018-06-05,1.142471360700076
2018-06-06,1.1392378803475431
2018-06-07,1.1403132184042828
2018-06-08,0.6439247706645411
2018-06-11,0.3732159642347936
2018-06-12,0.3758586679152902
2018-06-13,0.3775772839551014
2018-06-14,0.2834882435360452
2018-06-15,0.08953538749924171
2018-06-18,0.0
2018-06-19,0.0
2018-06-20,0.0
2018-06-21,0.0
2018-06-22,0.0
2018-06-25,0.0
2018-06-26,0.0
2018-06-27,0.0
2018-06-28,0.0
2018-06-29,0.0
2018-07-02,0.0
2018-07-03,0.0
2018-07-05,0.0
2018-07-06,0.0
2018-07-09,0.0
2018-07-10,0.0
2018-07-11,0.0
2018-07-12,0.0
2018-07-13,0.0
2018-07-16,0.0
2018-07-17,0.0
2018-07-18,0.09456236765646163
2018-07-19,0.1895098636005541
2018-07-20,0.2850332970286205
2018-07-23,0.28502135225279274
2018-07-24,0.2829864672141372
2018-07-25,0.38053511072935614
2018-07-26,0.7646139899204367
2018-07-27,0.7636062973560785
2018-07-30,0.859266541806327
2018-07-31,0.8609290822434482
2018-08-01,1.151532725780317
2018-08-02,1.152001174225853
2018-08-03,1.151410906020892
2018-08-06,1.1512810206529847
2018-08-07,1.1503767945601435
2018-08-08,1.1509209510407385
2018-08-09,1.1514512893723
2018-08-10,1.1525192309269159
2018-08-13,1.1530719766290325
2018-08-14,1.1522565134432046
2018-08-15,1.1527387587917641
2018-08-16,1.151631705053788
2018-08-17,1.1505020788963836
2018-08-20,1.1489260851112943
2018-08-21,1.1476723167673641
2018-08-22,1.149221413091258
2018-08-23,1.1495589841459095
2018-08-24,1.148915895700767
2018-08-27,1.1474157558866331
