date,nav
2022-01-19,155942.27558478867
2022-01-20,155942.27558478867
2022-01-21,155942.27558478867
2022-01-24,155942.27558478867
2022-01-25,155942.27558478867
2022-01-26,155942.27558478867
2022-01-27,155942.27558478867
2022-01-28,155942.27558478867
2022-01-31,155942.27558478867
2022-02-01,155942.27558478867
2022-02-02,155942.27558478867
2022-02-03,155999.02525445833
2022-02-04,156072.8230022061
2022-02-07,156184.2730022061
2022-02-08,157714.99026947335
2022-02-09,158698.98295215605
2022-02-10,156336.23295215605
2022-02-11,154630.75295215606
2022-02-14,154613.86295215605
2022-02-15,156070.43295215606
2022-02-16,156400.22295215604
2022-02-17,154224.13295215604
2022-02-18,154172.95295215608
2022-02-22,153247.26295215604
2022-02-23,152321.34295215603
2022-02-24,150950.41635215603
2022-02-25,151726.75635215605
2022-02-28,151412.77635215604
2022-03-01,151010.16635215603
2022-03-02,151638.04635215603
2022-03-03,151412.75635215605
2022-03-04,150934.79086215605
2022-03-07,150879.46086215606
2022-03-08,150203.92086215605
2022-03-09,150423.09086215607
2022-03-10,150288.31086215604
2022-03-11,150254.82086215605
2022-03-14,150298.79086215605
2022-03-15,150561.00086215604
2022-03-16,150767.84086215607
2022-03-17,150927.51086215605
2022-03-18,150754.60338215603
2022-03-21,150955.80867215604
2022-03-22,150955.80867215604
2022-03-23,150955.80867215604
2022-03-24,150955.80867215604
2022-03-25,150955.80867215604
2022-03-28,150955.80867215604
2022-03-29,150955.80867215604
2022-03-30,150955.80867215604
2022-03-31,150955.80867215604
2022-04-01,150955.80867215604
2022-04-04,150955.80867215604
2022-04-05,150955.80867215604
2022-04-06,150955.80867215604
2022-04-07,150955.80867215604
2022-04-08,150955.80867215604
2022-04-11,150955.80867215604
2022-04-12,150955.80867215604
2022-04-13,150955.80867215604
2022-04-14,150955.80867215604
2022-04-18,150955.80867215604
2022-04-19,150955.80867215604
2022-04-20,150955.80867215604
2022-04-21,150955.80867215604
2022-04-22,150955.80867215604
2022-04-25,150955.80867215604
2022-04-26,150955.80867215604
2022-04-27,150955.80867215604
2022-04-28,150955.80867215604
2022-04-29,150955.80867215604
2022-05-02,150955.80867215604
2022-05-03,150955.80867215604
2022-05-04,150955.80867215604
2022-05-05,150955.80867215604
2022-05-06,150955.80867215604
2022-05-09,150955.80867215604
2022-05-10,150955.80867215604
2022-05-11,150955.80867215604
2022-05-12,150955.80867215604
2022-05-13,150955.80867215604
2022-05-16,150955.80867215604
2022-05-17,151211.44867215602
2022-05-18,151208.95867215603
2022-05-19,150935.88867215603
2022-05-20,150633.76867215603
2022-05-23,151256.26867215603
2022-05-24,151179.07867215603
2022-05-25,151128.44867215602
2022-05-26,151228.04867215603
2022-05-27,151435.54867215603
2022-05-31,151331.79867215603
2022-06-01,151340.09867215605
2022-06-02,151706.95867215603
2022-06-03,151534.31867215605
2022-06-06,151535.97867215605
2022-06-07,151922.75867215605
2022-06-08,151902.00867215605
2022-06-09,151721.89867215604
2022-06-10,151615.65867215605
2022-06-13,151220.57867215603
2022-06-14,151072.83867215604
2022-06-15,151467.08867215604
2022-06-16,151362.50867215605
2022-06-17,151438.03867215605
2022-06-21,151684.54867215603
2022-06-22,151669.60867215603
2022-06-23,151789.95867215603
2022-06-24,152086.26867215603
2022-06-27,151720.23867215603
2022-06-28,151468.74867215604
2022-06-29,151414.79867215603
2022-06-30,151155.62868215604
2022-07-01,151155.62868215604
2022-07-05,151155.62868215604
2022-07-06,151155.62868215604
2022-07-07,151155.62868215604
2022-07-08,151155.62868215604
2022-07-11,151155.62868215604
2022-07-12,151155.62868215604
2022-07-13,151155.62868215604
2022-07-14,151155.62868215604
2022-07-15,151155.62868215604
2022-07-18,150936.72111458846
2022-07-19,151190.16111458847
2022-07-20,150938.52111458845
2022-07-21,150992.34111458846
2022-07-22,150973.44111458847
2022-07-25,151118.52111458845
2022-07-26,151158.99918265652
2022-07-27,152088.14724071458
2022-07-28,153449.4756209741
2022-07-29,153993.68714441158
2022-08-01,153466.99575116043
2022-08-02,152854.70521649244
2022-08-03,153440.7782780159
2022-08-04,153352.14892987136
2022-08-05,153767.3989860237
2022-08-08,153812.79740111114
2022-08-09,153909.82996702913
2022-08-10,155002.72209349397
2022-08-11,154752.65427366973
2022-08-12,156582.17931273225
2022-08-15,157063.8170715213
2022-08-16,157533.39704466582
2022-08-17,156849.05032347442
2022-08-18,157328.75688645098
2022-08-19,155869.05226486895
2022-08-22,153396.4613957283
2022-08-23,153290.35874680255
2022-08-24,153417.50160568926
2022-08-25,155178.7292863533
2022-08-26,152020.6269255135
2022-08-29,151352.0899549197
2022-08-30,150599.12265023222
2022-08-31,150313.19582406036
2022-09-01,149873.93184945098
2022-09-02,149439.905611658
2022-09-06,149311.39991341584
